	BE_Earth	BE_ISS	Human	MRSA	Soil	BE_Earth_prop	BE_ISS_prop	Soil_prop	Human_prop	MRSA_prop	fxn	p.val	p.adj.BH
2,3-bisphosphoglycerate-independent phosphoglycerate mutase	3	21	32	47	2	100	100	100	100	100	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1	1
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	3	21	32	47	2	100	100	100	100	100	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	1	1
23S rRNA (uracil-C(5))-methyltransferase RlmCD	3	21	31	47	2	100	100	100	96.875	100	23S rRNA (uracil-C(5))-methyltransferase RlmCD	0.501156705795975	1
27-O-demethylrifamycin SV methyltransferase	0	0	0	3	0	0	0	0	0	6.38297872340426	27-O-demethylrifamycin SV methyltransferase	0.18586004267473	1
3-dehydroquinate dehydratase	3	21	32	47	2	100	100	100	100	100	3-dehydroquinate dehydratase	1	1
3-dehydroquinate synthase	3	21	32	46	2	100	100	100	100	97.8723404255319	3-dehydroquinate synthase	0.663739357617865	1
3-hexulose-6-phosphate isomerase	3	21	32	47	2	100	100	100	100	100	3-hexulose-6-phosphate isomerase	1	1
3-hexulose-6-phosphate synthase	3	21	32	47	2	100	100	100	100	100	3-hexulose-6-phosphate synthase	1	1
3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase	0	0	1	0	0	0	0	0	3.125	0	3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase	0.501156705795977	1
3-hydroxy-3-methylglutaryl-coenzyme A reductase	3	21	32	47	2	100	100	100	100	100	3-hydroxy-3-methylglutaryl-coenzyme A reductase	1	1
3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	3	21	32	47	2	100	100	100	100	100	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	1	1
3-isopropylmalate dehydratase large subunit	3	21	32	47	2	100	100	100	100	100	3-isopropylmalate dehydratase large subunit	1	1
3-isopropylmalate dehydratase small subunit	3	21	32	47	2	100	100	100	100	100	3-isopropylmalate dehydratase small subunit	1	1
3-isopropylmalate dehydrogenase	3	21	32	47	2	100	100	100	100	100	3-isopropylmalate dehydrogenase	1	1
3-ketoacyl-CoA thiolase	3	21	32	47	2	100	100	100	100	100	3-ketoacyl-CoA thiolase	1	1
3-methyl-2-oxobutanoate hydroxymethyltransferase	3	21	32	47	2	100	100	100	100	100	3-methyl-2-oxobutanoate hydroxymethyltransferase	1	1
3-oxoacyl-[acyl-carrier-protein] reductase FabG	3	21	32	47	2	100	100	100	100	100	3-oxoacyl-[acyl-carrier-protein] reductase FabG	1	1
3-oxoacyl-[acyl-carrier-protein] synthase 2	3	21	32	47	2	100	100	100	100	100	3-oxoacyl-[acyl-carrier-protein] synthase 2	1	1
3-oxoacyl-[acyl-carrier-protein] synthase 3	3	21	32	47	2	100	100	100	100	100	3-oxoacyl-[acyl-carrier-protein] synthase 3	1	1
3-phosphoshikimate 1-carboxyvinyltransferase	3	21	32	47	2	100	100	100	100	100	3-phosphoshikimate 1-carboxyvinyltransferase	1	1
3'-5' exoribonuclease YhaM	3	21	32	47	2	100	100	100	100	100	3'-5' exoribonuclease YhaM	1	1
3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	3	21	32	47	2	100	100	100	100	100	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA	1	1
30S ribosomal protein S1	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S1	1	1
30S ribosomal protein S10	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S10	1	1
30S ribosomal protein S11	3	21	32	46	2	100	100	100	100	97.8723404255319	30S ribosomal protein S11	0.663739357617865	1
30S ribosomal protein S12	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S12	1	1
30S ribosomal protein S13	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S13	1	1
30S ribosomal protein S14 type Z	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S14 type Z	1	1
30S ribosomal protein S15	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S15	1	1
30S ribosomal protein S16	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S16	1	1
30S ribosomal protein S17	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S17	1	1
30S ribosomal protein S18	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S18	1	1
30S ribosomal protein S19	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S19	1	1
30S ribosomal protein S2	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S2	1	1
30S ribosomal protein S20	3	21	31	47	2	100	100	100	96.875	100	30S ribosomal protein S20	0.501156705795976	1
30S ribosomal protein S21	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S21	1	1
30S ribosomal protein S3	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S3	1	1
30S ribosomal protein S4	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S4	1	1
30S ribosomal protein S5	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S5	1	1
30S ribosomal protein S6	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S6	1	1
30S ribosomal protein S7	3	21	32	46	2	100	100	100	100	97.8723404255319	30S ribosomal protein S7	0.663739357617865	1
30S ribosomal protein S8	3	21	32	47	2	100	100	100	100	100	30S ribosomal protein S8	1	1
30S ribosomal protein S9	3	21	30	47	2	100	100	100	93.75	100	30S ribosomal protein S9	0.189870628386069	1
33 kDa chaperonin	3	21	32	47	2	100	100	100	100	100	33 kDa chaperonin	1	1
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	3	21	32	47	2	100	100	100	100	100	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase	1	1
4-hydroxy-tetrahydrodipicolinate reductase	3	21	32	47	2	100	100	100	100	100	4-hydroxy-tetrahydrodipicolinate reductase	1	1
4-hydroxy-tetrahydrodipicolinate synthase	3	21	32	47	2	100	100	100	100	100	4-hydroxy-tetrahydrodipicolinate synthase	1	1
4,4'-diaponeurosporenoate glycosyltransferase	3	21	32	47	2	100	100	100	100	100	4,4'-diaponeurosporenoate glycosyltransferase	1	1
4'-phosphopantetheinyl transferase sfp	3	21	32	47	2	100	100	100	100	100	4'-phosphopantetheinyl transferase sfp	1	1
5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU	3	21	32	47	2	100	100	100	100	100	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU	1	1
5-aminolevulinate synthase	1	1	1	0	0	33.3333333333333	4.76190476190476	0	3.125	0	5-aminolevulinate synthase	0.0949814460927798	1
5-formyltetrahydrofolate cyclo-ligase	3	21	32	47	2	100	100	100	100	100	5-formyltetrahydrofolate cyclo-ligase	1	1
5-keto-4-deoxy-D-glucarate aldolase	3	21	32	47	2	100	100	100	100	100	5-keto-4-deoxy-D-glucarate aldolase	1	1
5-methylcytosine-specific restriction enzyme B	0	1	2	7	0	0	4.76190476190476	0	6.25	14.8936170212766	5-methylcytosine-specific restriction enzyme B	0.380225112757506	1
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	3	21	32	47	2	100	100	100	100	100	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	1	1
5'-3' exonuclease	3	21	32	46	2	100	100	100	100	97.8723404255319	5'-3' exonuclease	0.663739357617865	1
5'-deoxynucleotidase YfbR	3	21	32	47	2	100	100	100	100	100	5'-deoxynucleotidase YfbR	1	1
5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	3	21	31	47	2	100	100	100	96.875	100	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	0.501156705795976	1
50S ribosomal protein L1	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L1	0.663739357617865	1
50S ribosomal protein L10	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L10	1	1
50S ribosomal protein L11	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L11	0.663739357617865	1
50S ribosomal protein L13	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L13	1	1
50S ribosomal protein L14	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L14	0.663739357617865	1
50S ribosomal protein L15	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L15	0.663739357617865	1
50S ribosomal protein L16	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L16	1	1
50S ribosomal protein L17	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L17	1	1
50S ribosomal protein L18	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L18	1	1
50S ribosomal protein L19	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L19	1	1
50S ribosomal protein L2	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L2	1	1
50S ribosomal protein L20	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L20	1	1
50S ribosomal protein L21	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L21	1	1
50S ribosomal protein L22	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L22	1	1
50S ribosomal protein L23	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L23	1	1
50S ribosomal protein L24	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L24	1	1
50S ribosomal protein L25	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L25	1	1
50S ribosomal protein L27	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L27	0.663739357617865	1
50S ribosomal protein L28	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L28	1	1
50S ribosomal protein L29	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L29	1	1
50S ribosomal protein L3	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L3	1	1
50S ribosomal protein L30	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L30	1	1
50S ribosomal protein L31 type B	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L31 type B	1	1
50S ribosomal protein L32	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L32	1	1
50S ribosomal protein L33 2	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L33 2	1	1
50S ribosomal protein L34	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L34	1	1
50S ribosomal protein L35	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L35	1	1
50S ribosomal protein L36	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L36	1	1
50S ribosomal protein L4	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L4	0.663739357617865	1
50S ribosomal protein L5	3	21	32	46	2	100	100	100	100	97.8723404255319	50S ribosomal protein L5	0.663739357617865	1
50S ribosomal protein L6	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L6	1	1
50S ribosomal protein L7/L12	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L7/L12	1	1
50S ribosomal protein L9	3	21	32	47	2	100	100	100	100	100	50S ribosomal protein L9	1	1
6-carboxy-5,6,7,8-tetrahydropterin synthase	3	21	32	47	2	100	100	100	100	100	6-carboxy-5,6,7,8-tetrahydropterin synthase	1	1
6-carboxyhexanoate--CoA ligase	3	21	32	47	2	100	100	100	100	100	6-carboxyhexanoate--CoA ligase	1	1
6-phospho-beta-galactosidase	3	21	32	46	2	100	100	100	100	97.8723404255319	6-phospho-beta-galactosidase	0.663739357617865	1
6-phosphogluconate dehydrogenase, decarboxylating	3	21	32	47	2	100	100	100	100	100	6-phosphogluconate dehydrogenase, decarboxylating	1	1
6-phosphogluconolactonase	3	21	31	47	2	100	100	100	96.875	100	6-phosphogluconolactonase	0.501156705795976	1
6,7-dimethyl-8-ribityllumazine synthase	3	21	32	47	2	100	100	100	100	100	6,7-dimethyl-8-ribityllumazine synthase	1	1
60 kDa chaperonin	3	21	32	47	2	100	100	100	100	100	60 kDa chaperonin	1	1
65 kDa membrane protein	3	21	32	47	2	100	100	100	100	100	65 kDa membrane protein	1	1
7-carboxy-7-deazaguanine synthase	3	21	32	47	2	100	100	100	100	100	7-carboxy-7-deazaguanine synthase	1	1
7-cyano-7-deazaguanine synthase	3	21	32	47	2	100	100	100	100	100	7-cyano-7-deazaguanine synthase	1	1
8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase	3	21	32	47	2	100	100	100	100	100	8-amino-7-oxononanoate synthase/2-amino-3-ketobutyrate coenzyme A ligase	1	1
ABC transporter ATP-binding protein NatA	3	21	32	47	2	100	100	100	100	100	ABC transporter ATP-binding protein NatA	1	1
ABC transporter ATP-binding protein YtrB	3	21	32	47	2	100	100	100	100	100	ABC transporter ATP-binding protein YtrB	1	1
ABC transporter ATP-binding protein YxdL	3	21	32	47	2	100	100	100	100	100	ABC transporter ATP-binding protein YxdL	1	1
ABC-type transporter ATP-binding protein EcsA	3	21	31	47	2	100	100	100	96.875	100	ABC-type transporter ATP-binding protein EcsA	0.501156705795976	1
Accessory gene regulator A	3	21	32	47	2	100	100	100	100	100	Accessory gene regulator A	1	1
Accessory gene regulator protein B	3	21	32	47	2	100	100	100	100	100	Accessory gene regulator protein B	1	1
Accessory Sec system protein Asp2	3	21	32	47	2	100	100	100	100	100	Accessory Sec system protein Asp2	1	1
Accessory Sec system protein Asp3	3	21	32	47	2	100	100	100	100	100	Accessory Sec system protein Asp3	1	1
Accessory Sec system protein translocase subunit SecY2	3	21	31	47	2	100	100	100	96.875	100	Accessory Sec system protein translocase subunit SecY2	0.501156705795974	1
Acetate kinase	3	21	32	47	2	100	100	100	100	100	Acetate kinase	1	1
Acetoacetyl-CoA reductase	3	21	32	47	2	100	100	100	100	100	Acetoacetyl-CoA reductase	1	1
Acetoin utilization protein AcuA	3	21	32	47	2	100	100	100	100	100	Acetoin utilization protein AcuA	1	1
Acetoin utilization protein AcuC	3	21	32	47	2	100	100	100	100	100	Acetoin utilization protein AcuC	1	1
Acetolactate synthase	3	21	32	47	2	100	100	100	100	100	Acetolactate synthase	1	1
Acetolactate synthase large subunit	3	21	32	47	2	100	100	100	100	100	Acetolactate synthase large subunit	1	1
Acetolactate synthase small subunit	3	21	32	47	2	100	100	100	100	100	Acetolactate synthase small subunit	1	1
Acetyl esterase	3	21	32	47	2	100	100	100	100	100	Acetyl esterase	1	1
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	3	21	32	47	2	100	100	100	100	100	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha	1	1
Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	3	21	32	47	2	100	100	100	100	100	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	1	1
Acetyl-coenzyme A synthetase	3	21	32	47	2	100	100	100	100	100	Acetyl-coenzyme A synthetase	1	1
Acetylglutamate kinase	3	21	32	47	2	100	100	100	100	100	Acetylglutamate kinase	1	1
Acetyltransferase	3	21	32	47	2	100	100	100	100	100	Acetyltransferase	1	1
Acid shock protein	3	21	32	47	2	100	100	100	100	100	Acid shock protein	1	1
Acid sugar phosphatase	3	21	32	47	2	100	100	100	100	100	Acid sugar phosphatase	1	1
Aconitate hydratase A	3	21	31	47	2	100	100	100	96.875	100	Aconitate hydratase A	0.501156705795976	1
Acyl carrier protein	3	21	32	47	2	100	100	100	100	100	Acyl carrier protein	1	1
Acyl-CoA dehydrogenase	3	21	32	47	2	100	100	100	100	100	Acyl-CoA dehydrogenase	1	1
Acylphosphatase	3	21	32	47	2	100	100	100	100	100	Acylphosphatase	1	1
Adapter protein MecA 1	3	21	32	47	2	100	100	100	100	100	Adapter protein MecA 1	1	1
Adenine DNA glycosylase	3	21	32	47	2	100	100	100	100	100	Adenine DNA glycosylase	1	1
Adenine phosphoribosyltransferase	3	21	32	47	2	100	100	100	100	100	Adenine phosphoribosyltransferase	1	1
Adenylate kinase	3	21	32	47	2	100	100	100	100	100	Adenylate kinase	1	1
Adenylosuccinate lyase	3	21	32	47	2	100	100	100	100	100	Adenylosuccinate lyase	1	1
Adenylosuccinate synthetase	3	21	32	47	2	100	100	100	100	100	Adenylosuccinate synthetase	1	1
ADP-dependent (S)-NAD(P)H-hydrate dehydratase	3	21	32	47	2	100	100	100	100	100	ADP-dependent (S)-NAD(P)H-hydrate dehydratase	1	1
ADP-ribose pyrophosphatase	3	21	32	47	2	100	100	100	100	100	ADP-ribose pyrophosphatase	1	1
Aerobactin synthase	3	21	32	47	2	100	100	100	100	100	Aerobactin synthase	1	1
Aerobic cobaltochelatase subunit CobT	3	21	32	47	2	100	100	100	100	100	Aerobic cobaltochelatase subunit CobT	1	1
Aerobic glycerol-3-phosphate dehydrogenase	3	21	32	47	2	100	100	100	100	100	Aerobic glycerol-3-phosphate dehydrogenase	1	1
AI-2 transport protein TqsA	3	21	32	47	2	100	100	100	100	100	AI-2 transport protein TqsA	1	1
Alanine dehydrogenase 1	3	21	32	47	2	100	100	100	100	100	Alanine dehydrogenase 1	1	1
Alanine dehydrogenase 2	3	21	32	47	2	100	100	100	100	100	Alanine dehydrogenase 2	1	1
Alanine racemase 1	3	21	32	47	2	100	100	100	100	100	Alanine racemase 1	1	1
Alanine--tRNA ligase	3	21	32	47	2	100	100	100	100	100	Alanine--tRNA ligase	1	1
Alcohol dehydrogenase	3	21	32	47	2	100	100	100	100	100	Alcohol dehydrogenase	1	1
Aldehyde-alcohol dehydrogenase	3	21	32	47	2	100	100	100	100	100	Aldehyde-alcohol dehydrogenase	1	1
Aldose 1-epimerase	3	21	32	47	2	100	100	100	100	100	Aldose 1-epimerase	1	1
Aliphatic sulfonates import ATP-binding protein SsuB	3	21	31	44	1	100	100	50	96.875	93.6170212765958	Aliphatic sulfonates import ATP-binding protein SsuB	0.454572468938371	1
Alkaline phosphatase 3	3	21	32	47	2	100	100	100	100	100	Alkaline phosphatase 3	1	1
Alkaline phosphatase synthesis sensor protein PhoR	3	21	32	47	2	100	100	100	100	100	Alkaline phosphatase synthesis sensor protein PhoR	1	1
Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	3	21	32	47	2	100	100	100	100	100	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP	1	1
Alkaline shock protein 23	3	21	32	47	2	100	100	100	100	100	Alkaline shock protein 23	1	1
Alkanal monooxygenase alpha chain	3	21	32	47	2	100	100	100	100	100	Alkanal monooxygenase alpha chain	1	1
Alkyl hydroperoxide reductase AhpD	3	21	32	47	2	100	100	100	100	100	Alkyl hydroperoxide reductase AhpD	1	1
Alkyl hydroperoxide reductase subunit C	3	21	32	47	2	100	100	100	100	100	Alkyl hydroperoxide reductase subunit C	1	1
Alkyl hydroperoxide reductase subunit F	3	21	32	47	2	100	100	100	100	100	Alkyl hydroperoxide reductase subunit F	1	1
Alkylmercury lyase	1	0	2	3	0	33.3333333333333	0	0	6.25	6.38297872340426	Alkylmercury lyase	0.198131498254894	1
Alpha-acetolactate decarboxylase	3	21	32	47	2	100	100	100	100	100	Alpha-acetolactate decarboxylase	1	1
Alpha-hemolysin	3	21	30	47	2	100	100	100	93.75	100	Alpha-hemolysin	0.189870628386068	1
Alternate 30S ribosomal protein S14	3	21	32	47	2	100	100	100	100	100	Alternate 30S ribosomal protein S14	1	1
Amidophosphoribosyltransferase	3	21	32	47	2	100	100	100	100	100	Amidophosphoribosyltransferase	1	1
Amino-acid carrier protein AlsT	3	21	31	47	2	100	100	100	96.875	100	Amino-acid carrier protein AlsT	0.501156705795976	1
Aminoacyltransferase FemA	3	21	32	47	2	100	100	100	100	100	Aminoacyltransferase FemA	1	1
Aminoacyltransferase FemB	3	21	32	47	2	100	100	100	100	100	Aminoacyltransferase FemB	1	1
Aminodeoxychorismate synthase component 1	3	21	32	47	2	100	100	100	100	100	Aminodeoxychorismate synthase component 1	1	1
Aminoglycoside 6-adenylyltransferase	0	3	3	3	0	0	14.2857142857143	0	9.375	6.38297872340426	Aminoglycoside 6-adenylyltransferase	0.656209271648878	1
Aminomethyltransferase	3	21	32	47	2	100	100	100	100	100	Aminomethyltransferase	1	1
Aminopeptidase PepS	3	21	32	47	2	100	100	100	100	100	Aminopeptidase PepS	1	1
Aminopeptidase YpdF	3	21	32	47	2	100	100	100	100	100	Aminopeptidase YpdF	1	1
Aminopyrimidine aminohydrolase	3	21	32	47	2	100	100	100	100	100	Aminopyrimidine aminohydrolase	1	1
Ammonium transporter NrgA	3	21	32	47	2	100	100	100	100	100	Ammonium transporter NrgA	1	1
Anaerobic ribonucleoside-triphosphate reductase	3	21	32	47	2	100	100	100	100	100	Anaerobic ribonucleoside-triphosphate reductase	1	1
Anaerobic ribonucleoside-triphosphate reductase-activating protein	3	21	32	47	2	100	100	100	100	100	Anaerobic ribonucleoside-triphosphate reductase-activating protein	1	1
Anthranilate phosphoribosyltransferase	1	1	2	2	1	33.3333333333333	4.76190476190476	50	6.25	4.25531914893617	Anthranilate phosphoribosyltransferase	0.494554166215137	1
